created_at,entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
2020-09-30 06:38:25 +07,332,31.70,1007.00,67.80,"1.80



",,,,,
2020-09-30 06:43:28 +07,333,31.90,1007.00,67.20,"1.80



",,,,,
2020-09-30 06:48:30 +07,334,31.70,1007.00,67.80,"1.80



",,,,,
2020-09-30 06:58:36 +07,335,31.80,1007.00,67.60,"1.80



",,,,,
2020-09-30 07:03:39 +07,336,31.60,1007.00,68.60,"1.80



",,,,,
2020-09-30 07:08:42 +07,337,31.60,1007.00,68.60,"1.80



",,,,,
2020-09-30 07:13:45 +07,338,31.60,1007.00,69.10,"1.80



",,,,,
2020-09-30 07:18:48 +07,339,31.60,1007.00,69.10,"1.80



",,,,,
2020-09-30 07:23:50 +07,340,31.50,1007.00,69.00,"1.80



",,,,,
2020-09-30 07:28:53 +07,341,31.50,1007.00,68.80,"1.80



",,,,,
2020-09-30 07:33:56 +07,342,31.60,1008.00,68.40,"6.26



",,,,,
2020-09-30 07:38:59 +07,343,31.80,1008.00,67.90,"6.26



",,,,,
2020-09-30 07:44:02 +07,344,31.60,1008.00,68.10,"6.26



",,,,,
2020-09-30 07:49:05 +07,345,31.50,1008.00,68.70,"6.26



",,,,,
2020-09-30 07:54:08 +07,346,31.50,1008.00,68.70,"1.80



",,,,,
2020-09-30 07:59:11 +07,347,31.60,1008.00,68.40,"1.80



",,,,,
2020-09-30 08:04:13 +07,348,31.50,1008.00,68.40,"1.80



",,,,,
2020-09-30 08:09:16 +07,349,31.50,1008.00,68.60,"1.80



",,,,,
2020-09-30 08:14:19 +07,350,31.40,1008.00,68.70,"1.80



",,,,,
2020-09-30 08:24:25 +07,351,31.50,1008.00,69.00,"1.80



",,,,,
2020-09-30 08:29:28 +07,352,31.50,1008.00,68.50,"1.80



",,,,,
2020-09-30 08:34:30 +07,353,31.60,1008.00,68.10,"3.60



",,,,,
2020-09-30 08:39:33 +07,354,31.60,1008.00,68.40,"3.60



",,,,,
2020-09-30 08:44:36 +07,355,31.50,1008.00,68.40,"3.60



",,,,,
2020-09-30 08:49:39 +07,356,31.50,1008.00,68.50,"3.60



",,,,,
2020-09-30 08:54:42 +07,357,31.70,1008.00,68.10,"3.60



",,,,,
2020-09-30 08:59:45 +07,358,31.80,1008.00,67.50,"3.60



",,,,,
2020-09-30 09:04:48 +07,359,31.60,1008.00,67.90,"3.60



",,,,,
2020-09-30 09:09:51 +07,360,31.50,1008.00,68.30,"3.60



",,,,,
2020-09-30 09:19:56 +07,361,31.50,1008.00,68.40,"3.60



",,,,,
2020-09-30 09:24:59 +07,362,31.60,1008.00,67.60,"3.60



",,,,,
2020-09-30 09:35:05 +07,363,31.60,1008.00,66.30,"1.80



",,,,,
2020-09-30 09:40:08 +07,364,31.70,1008.00,66.10,"1.80



",,,,,
2020-09-30 09:45:11 +07,365,31.80,1008.00,66.50,"1.80



",,,,,
2020-09-30 09:50:13 +07,366,31.80,1008.00,68.40,"1.80



",,,,,
2020-09-30 09:55:16 +07,367,32.00,1008.00,69.90,"3.60



",,,,,
2020-09-30 10:00:19 +07,368,32.10,1008.00,70.20,"3.60



",,,,,
2020-09-30 10:05:22 +07,369,32.20,1008.00,70.20,"3.60



",,,,,
2020-09-30 10:10:25 +07,370,32.30,1008.00,70.30,"3.60



",,,,,
2020-09-30 10:15:28 +07,371,32.30,1008.00,70.80,"3.60



",,,,,
2020-09-30 10:20:31 +07,372,32.30,1008.00,71.40,"3.60



",,,,,
2020-09-30 10:25:34 +07,373,32.40,1008.00,71.40,"3.60



",,,,,
2020-09-30 10:30:36 +07,374,32.40,1008.00,71.40,"3.60



",,,,,
2020-09-30 10:35:39 +07,375,32.20,1008.00,71.70,"7.56



",,,,,
2020-09-30 10:40:42 +07,376,32.30,1008.00,72.20,"7.56



",,,,,
2020-09-30 10:45:45 +07,377,32.40,1008.00,71.80,"7.56



",,,,,
2020-09-30 10:50:48 +07,378,32.30,1008.00,71.40,"7.56



",,,,,
2020-09-30 10:55:51 +07,379,32.40,1008.00,71.20,"11.16



",,,,,
2020-09-30 11:05:57 +07,380,32.50,1008.00,71.20,"11.16



",,,,,
2020-09-30 11:11:00 +07,381,32.60,1008.00,70.50,"11.16



",,,,,
2020-09-30 11:16:02 +07,382,32.60,1008.00,70.10,"11.16



",,,,,
2020-09-30 11:26:08 +07,383,32.50,1007.00,70.50,"12.96



",,,,,
2020-09-30 11:31:11 +07,384,32.60,1007.00,70.70,"12.96



",,,,,
2020-09-30 11:36:14 +07,385,32.50,1007.00,71.40,"12.96



",,,,,
2020-09-30 11:41:17 +07,386,32.40,1007.00,71.70,"12.96



",,,,,
2020-09-30 11:46:20 +07,387,32.30,1007.00,72.30,"12.96



",,,,,
2020-09-30 11:51:23 +07,388,32.30,1007.00,72.10,"12.96



",,,,,
2020-09-30 11:56:25 +07,389,32.30,1007.00,72.30,"11.16



",,,,,
2020-09-30 12:01:28 +07,390,32.30,1007.00,72.30,"11.16



",,,,,
2020-09-30 12:06:31 +07,391,32.30,1007.00,72.00,"11.16



",,,,,
2020-09-30 12:11:34 +07,392,32.50,1007.00,71.70,"11.16



",,,,,
2020-09-30 12:16:37 +07,393,32.50,1007.00,71.70,"11.16



",,,,,
2020-09-30 12:21:40 +07,394,32.50,1007.00,71.60,"11.16



",,,,,
2020-09-30 12:26:43 +07,395,32.50,1006.00,71.40,"14.76



",,,,,
2020-09-30 12:31:45 +07,396,32.50,1006.00,71.50,"14.76



",,,,,
2020-09-30 12:36:48 +07,397,32.50,1006.00,71.70,"14.76



",,,,,
2020-09-30 12:41:51 +07,398,32.60,1006.00,72.60,"14.76



",,,,,
2020-09-30 12:46:54 +07,399,33.00,1006.00,73.40,"14.76



",,,,,
2020-09-30 12:51:57 +07,400,33.10,1006.00,72.80,"14.76



",,,,,
2020-09-30 13:02:03 +07,401,33.10,1006.00,72.90,"18.36



",,,,,
2020-09-30 13:07:06 +07,402,33.00,1006.00,72.40,"18.36



",,,,,
2020-09-30 13:52:31 +07,403,32.60,1005.00,71.60,"20.52



",,,,,
2020-09-30 13:57:34 +07,404,32.60,1005.00,71.30,"24.12



",,,,,
2020-09-30 14:07:40 +07,405,32.60,1005.00,71.60,"24.12



",,,,,
2020-09-30 14:17:45 +07,406,32.50,1005.00,72.30,"24.12



",,,,,
2020-09-30 14:22:48 +07,407,32.60,1005.00,71.50,"24.12



",,,,,
2020-09-30 14:27:51 +07,408,32.70,1004.00,70.80,"24.12



",,,,,
2020-09-30 14:32:54 +07,409,32.60,1004.00,71.10,"24.12



",,,,,
2020-09-30 14:37:57 +07,410,32.70,1004.00,71.40,"24.12



",,,,,
2020-09-30 14:43:00 +07,411,33.00,1004.00,72.00,"24.12



",,,,,
2020-09-30 14:53:06 +07,412,32.80,1004.00,71.50,"24.12



",,,,,
2020-09-30 14:58:08 +07,413,32.80,1004.00,72.00,"22.32



",,,,,
2020-09-30 15:03:11 +07,414,32.80,1004.00,72.60,"22.32



",,,,,
2020-09-30 15:08:14 +07,415,32.70,1004.00,72.70,"22.32



",,,,,
2020-09-30 15:13:17 +07,416,32.60,1004.00,72.80,"22.32



",,,,,
2020-09-30 15:18:20 +07,417,32.70,1004.00,73.10,"22.32



",,,,,
2020-09-30 15:23:23 +07,418,32.70,1004.00,73.00,"22.32



",,,,,
2020-09-30 15:28:26 +07,419,32.70,1004.00,72.90,"22.32



",,,,,
2020-09-30 15:33:29 +07,420,32.70,1004.00,72.90,"22.32



",,,,,
2020-09-30 15:43:34 +07,421,32.70,1004.00,73.10,"22.32



",,,,,
2020-09-30 15:53:40 +07,422,32.80,1004.00,73.20,"22.32



",,,,,
2020-09-30 15:58:43 +07,423,32.80,1004.00,72.50,"18.36



",,,,,
2020-09-30 16:03:46 +07,424,32.80,1004.00,71.70,"18.36



",,,,,
2020-09-30 16:08:49 +07,425,32.80,1004.00,71.70,"18.36



",,,,,
2020-09-30 16:13:52 +07,426,32.80,1004.00,72.20,"18.36



",,,,,
2020-09-30 16:18:54 +07,427,32.80,1004.00,72.40,"18.36



",,,,,
2020-09-30 16:23:57 +07,428,32.80,1004.00,72.20,"18.36



",,,,,
2020-09-30 16:29:00 +07,429,32.90,1004.00,72.80,"18.36



",,,,,
2020-09-30 16:34:03 +07,430,32.80,1004.00,73.20,"18.36



",,,,,
2020-09-30 16:39:06 +07,431,32.80,1004.00,72.80,"18.36



",,,,,
2020-09-30 16:44:09 +07,432,32.80,1004.00,73.20,"18.36



",,,,,
2020-09-30 16:49:12 +07,433,32.80,1004.00,73.40,"18.36



",,,,,
2020-09-30 16:54:15 +07,434,32.90,1004.00,73.00,"18.36



",,,,,
2020-09-30 16:59:17 +07,435,32.90,1004.00,73.20,"16.56



",,,,,
2020-09-30 17:04:20 +07,436,32.80,1004.00,73.50,"16.56



",,,,,
2020-09-30 17:09:23 +07,437,32.90,1004.00,73.40,"16.56



",,,,,
2020-09-30 17:14:26 +07,438,32.80,1004.00,73.80,"16.56



",,,,,
2020-09-30 17:19:29 +07,439,32.80,1004.00,74.10,"16.56



",,,,,
2020-09-30 17:24:32 +07,440,32.80,1004.00,74.30,"16.56



",,,,,
2020-09-30 17:29:35 +07,441,32.80,1004.00,74.20,"14.76



",,,,,
2020-09-30 17:34:37 +07,442,32.80,1004.00,74.40,"14.76



",,,,,
2020-09-30 17:39:40 +07,443,32.90,1004.00,74.20,"14.76



",,,,,
2020-09-30 17:44:43 +07,444,32.80,1004.00,74.10,"14.76



",,,,,
2020-09-30 17:49:46 +07,445,32.80,1004.00,74.10,"14.76



",,,,,
2020-09-30 17:54:49 +07,446,32.80,1004.00,74.40,"14.76



",,,,,
2020-09-30 17:59:52 +07,447,32.90,1005.00,75.00,"11.16



",,,,,
2020-09-30 18:04:55 +07,448,33.00,1005.00,75.30,"11.16



",,,,,
2020-09-30 18:09:58 +07,449,33.20,1005.00,74.90,"11.16



",,,,,
2020-09-30 18:15:01 +07,450,33.20,1005.00,74.90,"11.16



",,,,,
2020-09-30 18:20:04 +07,451,33.20,1005.00,74.90,"11.16



",,,,,
2020-09-30 18:25:06 +07,452,33.20,1005.00,75.20,"11.16



",,,,,
2020-09-30 18:30:09 +07,453,33.20,1005.00,75.10,"11.16



",,,,,
2020-09-30 18:35:12 +07,454,33.30,1005.00,75.10,"11.16



",,,,,
2020-09-30 18:40:15 +07,455,33.30,1005.00,74.70,"11.16



",,,,,
2020-09-30 18:45:18 +07,456,33.30,1005.00,74.70,"11.16



",,,,,
2020-09-30 18:50:21 +07,457,33.30,1005.00,74.30,"11.16



",,,,,
2020-09-30 19:00:27 +07,458,33.30,1005.00,74.40,"11.16



",,,,,
2020-09-30 19:05:29 +07,459,33.40,1005.00,74.20,"11.16



",,,,,
2020-09-30 19:10:32 +07,460,33.40,1005.00,74.20,"11.16



",,,,,
2020-09-30 19:15:35 +07,461,33.40,1005.00,74.40,"11.16



",,,,,
2020-09-30 19:20:38 +07,462,33.40,1005.00,74.50,"11.16



",,,,,
2020-09-30 19:25:41 +07,463,33.40,1005.00,74.50,"11.16



",,,,,
2020-09-30 19:30:44 +07,464,33.40,1005.00,74.50,"9.36



",,,,,
2020-09-30 19:35:47 +07,465,33.40,1005.00,74.40,"9.36



",,,,,
2020-09-30 19:40:49 +07,466,33.30,1005.00,74.50,"9.36



",,,,,
2020-09-30 19:45:52 +07,467,33.30,1005.00,74.50,"9.36



",,,,,
2020-09-30 19:50:55 +07,468,33.30,1006.00,74.50,"3.60



",,,,,
2020-09-30 19:55:58 +07,469,33.30,1006.00,74.40,"3.60



",,,,,
2020-09-30 20:01:01 +07,470,33.30,1006.00,74.70,"3.60



",,,,,
2020-09-30 20:06:04 +07,471,33.30,1006.00,74.50,"3.60



",,,,,
2020-09-30 20:11:07 +07,472,33.30,1006.00,74.20,"3.60



",,,,,
2020-09-30 20:16:10 +07,473,33.30,1006.00,74.20,"3.60



",,,,,
2020-09-30 20:21:12 +07,474,33.20,1006.00,73.00,"3.60



",,,,,
2020-09-30 20:26:15 +07,475,33.10,1006.00,72.80,"3.60



",,,,,
2020-09-30 20:31:18 +07,476,33.00,1007.00,72.60,"3.60



",,,,,
2020-09-30 20:36:21 +07,477,33.00,1007.00,72.30,"3.60



",,,,,
2020-09-30 20:41:24 +07,478,33.00,1007.00,71.80,"3.60



",,,,,
2020-09-30 20:46:27 +07,479,33.00,1007.00,71.40,"3.60



",,,,,
2020-09-30 20:51:30 +07,480,32.90,1007.00,70.70,"3.60



",,,,,
2020-09-30 20:56:32 +07,481,32.90,1007.00,70.70,"3.60



",,,,,
2020-09-30 21:01:35 +07,482,32.80,1007.00,70.50,"7.56



",,,,,
2020-09-30 21:06:38 +07,483,32.80,1007.00,70.60,"7.56



",,,,,
2020-09-30 21:16:44 +07,484,32.70,1007.00,70.70,"7.56



",,,,,
2020-09-30 21:21:47 +07,485,32.70,1007.00,70.80,"7.56



",,,,,
2020-09-30 21:26:53 +07,486,32.60,1007.00,71.40,"7.56



",,,,,
2020-09-30 21:31:55 +07,487,32.60,1007.00,71.50,"7.56



",,,,,
2020-09-30 21:36:58 +07,488,32.50,1007.00,71.50,"7.56



",,,,,
2020-09-30 21:47:04 +07,489,32.60,1007.00,72.00,"7.56



",,,,,
2020-09-30 21:52:07 +07,490,32.50,1007.00,71.80,"7.56



",,,,,
2020-09-30 21:57:10 +07,491,32.60,1007.00,71.70,"7.56



",,,,,
2020-09-30 22:02:13 +07,492,33.00,1008.00,70.90,"1.80



",,,,,
2020-09-30 22:07:16 +07,493,32.80,1008.00,70.80,"1.80



",,,,,
2020-09-30 22:12:19 +07,494,32.60,1008.00,71.40,"1.80



",,,,,
2020-09-30 22:17:21 +07,495,32.60,1008.00,71.60,"1.80



",,,,,
2020-09-30 22:22:24 +07,496,32.50,1008.00,71.90,"1.80



",,,,,
2020-09-30 22:27:27 +07,497,32.50,1008.00,72.00,"1.80



",,,,,
2020-09-30 22:42:35 +07,498,32.40,1008.00,72.10,"5.40



",,,,,
2020-09-30 22:47:38 +07,499,32.40,1008.00,72.10,"5.40



",,,,,
2020-09-30 22:57:44 +07,500,32.40,1008.00,72.30,"3.60



",,,,,
2020-09-30 23:02:47 +07,501,32.40,1008.00,71.80,"3.60



",,,,,
2020-09-30 23:12:52 +07,502,32.30,1008.00,71.90,"3.60



",,,,,
2020-09-30 23:17:55 +07,503,32.30,1008.00,72.10,"3.60



",,,,,
2020-09-30 23:22:58 +07,504,32.20,1008.00,72.00,"3.60



",,,,,
2020-09-30 23:43:09 +07,505,32.20,1007.00,72.30,"3.60



",,,,,
2020-09-30 23:48:12 +07,506,32.20,1007.00,72.00,"3.60



",,,,,
2020-09-30 23:53:15 +07,507,32.20,1007.00,71.90,"5.40



",,,,,
2020-09-30 23:58:18 +07,508,32.20,1007.00,72.20,"5.40



",,,,,
2020-10-01 00:08:23 +07,509,32.10,1007.00,72.00,"5.40



",,,,,
2020-10-01 00:13:26 +07,510,32.10,1007.00,72.10,"5.40



",,,,,
2020-10-01 00:23:32 +07,511,32.10,1007.00,72.40,"5.40



",,,,,
2020-10-01 00:28:35 +07,512,32.00,1007.00,72.20,"5.40



",,,,,
2020-10-01 00:33:38 +07,513,32.00,1007.00,72.30,"5.40



",,,,,
2020-10-01 00:38:41 +07,514,32.10,1007.00,72.30,"5.40



",,,,,
2020-10-01 00:43:43 +07,515,32.10,1007.00,71.80,"5.40



",,,,,
2020-10-01 00:48:46 +07,516,32.30,1007.00,71.30,"5.40



",,,,,
2020-10-01 00:53:49 +07,517,32.30,1007.00,70.80,"3.60



",,,,,
2020-10-01 00:58:52 +07,518,32.30,1007.00,71.10,"3.60



",,,,,
2020-10-01 01:14:00 +07,519,32.20,1007.00,71.40,"3.60



",,,,,
2020-10-01 01:19:03 +07,520,32.00,1007.00,71.70,"3.60



",,,,,
2020-10-01 01:24:06 +07,521,32.00,1007.00,71.70,"3.60



",,,,,
2020-10-01 01:29:09 +07,522,32.10,1007.00,71.90,"3.60



",,,,,
2020-10-01 01:39:15 +07,523,32.20,1006.00,71.00,"3.60



",,,,,
2020-10-01 01:44:17 +07,524,32.20,1006.00,70.90,"3.60



",,,,,
2020-10-01 01:54:23 +07,525,32.00,1006.00,71.60,"3.60



",,,,,
2020-10-01 01:59:26 +07,526,32.00,1006.00,71.30,"3.60



",,,,,
2020-10-01 02:04:29 +07,527,32.00,1006.00,71.40,"3.60



",,,,,
2020-10-01 02:14:34 +07,528,32.40,1006.00,69.30,"3.60



",,,,,
2020-10-01 02:19:37 +07,529,32.80,1006.00,68.30,"3.60



",,,,,
2020-10-01 02:24:40 +07,530,33.40,1006.00,66.60,"3.60



",,,,,
2020-10-01 02:29:43 +07,531,33.60,1006.00,65.40,"3.60



",,,,,
2020-10-01 02:34:46 +07,532,32.80,1006.00,67.10,"3.60



",,,,,
2020-10-01 02:39:49 +07,533,32.40,1006.00,68.20,"3.60



",,,,,
2020-10-01 02:49:55 +07,534,32.00,1006.00,70.00,"3.60



",,,,,
2020-10-01 03:00:00 +07,535,32.00,1005.00,70.20,"7.56



",,,,,
2020-10-01 03:10:06 +07,536,32.00,1005.00,70.10,"7.56



",,,,,
2020-10-01 03:15:09 +07,537,31.90,1005.00,69.60,"7.56



",,,,,
2020-10-01 03:20:12 +07,538,31.80,1005.00,69.70,"7.56



",,,,,
2020-10-01 03:25:15 +07,539,31.90,1005.00,69.90,"7.56



",,,,,
2020-10-01 03:30:17 +07,540,32.10,1005.00,70.20,"7.56



",,,,,
2020-10-01 03:40:23 +07,541,32.00,1005.00,71.40,"3.60



",,,,,
2020-10-01 03:45:26 +07,542,32.00,1005.00,71.50,"3.60



",,,,,
2020-10-01 03:50:29 +07,543,32.00,1005.00,71.70,"3.60



",,,,,
2020-10-01 03:55:32 +07,544,32.20,1005.00,71.70,"3.60



",,,,,
2020-10-01 04:10:40 +07,545,32.10,1005.00,72.60,"3.60



",,,,,
2020-10-01 04:15:43 +07,546,32.10,1005.00,73.00,"3.60



",,,,,
2020-10-01 04:20:46 +07,547,32.10,1005.00,73.10,"3.60



",,,,,
2020-10-01 04:25:49 +07,548,32.40,1005.00,72.30,"5.40



",,,,,
2020-10-01 04:30:51 +07,549,32.20,1005.00,72.30,"5.40



",,,,,
2020-10-01 04:35:54 +07,550,32.20,1005.00,73.00,"5.40



",,,,,
2020-10-01 04:40:57 +07,551,32.20,1005.00,73.30,"5.40



",,,,,
2020-10-01 04:46:00 +07,552,32.20,1005.00,73.60,"5.40



",,,,,
2020-10-01 04:51:03 +07,553,32.10,1005.00,74.00,"5.40



",,,,,
2020-10-01 04:56:06 +07,554,32.10,1005.00,74.10,"3.60



",,,,,
2020-10-01 05:01:09 +07,555,32.10,1005.00,74.20,"3.60



",,,,,
2020-10-01 05:06:11 +07,556,32.10,1005.00,74.20,"3.60



",,,,,
2020-10-01 05:11:14 +07,557,32.10,1005.00,74.00,"3.60



",,,,,
2020-10-01 05:16:17 +07,558,32.10,1005.00,73.90,"3.60



",,,,,
2020-10-01 05:21:20 +07,559,32.10,1005.00,74.10,"3.60



",,,,,
2020-10-01 05:26:23 +07,560,32.10,1005.00,74.10,"3.60



",,,,,
2020-10-01 05:31:26 +07,561,32.10,1005.00,74.30,"3.60



",,,,,
2020-10-01 05:36:29 +07,562,32.10,1005.00,74.40,"8.10



",,,,,
2020-10-01 05:41:32 +07,563,32.10,1005.00,74.30,"8.10



",,,,,
2020-10-01 05:46:34 +07,564,32.00,1005.00,74.50,"8.10



",,,,,
2020-10-01 05:51:37 +07,565,32.10,1005.00,74.60,"8.10



",,,,,
2020-10-01 05:56:40 +07,566,32.00,1006.00,74.50,"9.36



",,,,,
2020-10-01 06:01:43 +07,567,32.10,1006.00,74.40,"9.36



",,,,,
2020-10-01 06:06:46 +07,568,32.10,1006.00,74.40,"9.36



",,,,,
2020-10-01 06:11:49 +07,569,32.10,1006.00,74.30,"9.36



",,,,,
2020-10-01 06:16:52 +07,570,32.10,1006.00,74.50,"9.36



",,,,,
2020-10-01 06:21:54 +07,571,32.00,1006.00,74.70,"9.36



",,,,,
2020-10-01 06:26:57 +07,572,32.10,1006.00,74.40,"9.36



",,,,,
2020-10-01 06:32:00 +07,573,32.10,1006.00,74.10,"9.36



",,,,,
2020-10-01 06:37:03 +07,574,32.10,1006.00,74.30,"5.40



",,,,,
2020-10-01 06:42:06 +07,575,32.10,1006.00,74.50,"5.40



",,,,,
2020-10-01 06:47:09 +07,576,32.20,1006.00,74.40,"5.40



",,,,,
2020-10-01 06:52:12 +07,577,32.20,1006.00,73.90,"5.40



",,,,,
2020-10-01 06:57:14 +07,578,32.20,1007.00,74.10,"3.60



",,,,,
2020-10-01 07:02:17 +07,579,32.10,1007.00,74.40,"3.60



",,,,,
2020-10-01 07:07:20 +07,580,32.10,1007.00,74.40,"3.60



",,,,,
2020-10-01 07:12:23 +07,581,32.10,1007.00,74.40,"3.60



",,,,,
2020-10-01 07:17:26 +07,582,32.30,1007.00,73.90,"3.60



",,,,,
2020-10-01 07:22:29 +07,583,32.20,1007.00,73.70,"3.60



",,,,,
2020-10-01 07:27:32 +07,584,32.30,1007.00,73.70,"3.60



",,,,,
2020-10-01 07:32:34 +07,585,32.20,1007.00,73.80,"3.60



",,,,,
2020-10-01 07:37:37 +07,586,32.20,1007.00,74.40,"7.02



",,,,,
2020-10-01 07:42:40 +07,587,32.20,1007.00,74.50,"7.02



",,,,,
2020-10-01 07:47:43 +07,588,32.20,1007.00,74.60,"7.02



",,,,,
2020-10-01 07:52:46 +07,589,32.30,1007.00,74.20,"7.02



",,,,,
2020-10-01 07:57:49 +07,590,32.30,1007.00,74.00,"7.02



",,,,,
2020-10-01 08:02:52 +07,591,32.20,1007.00,74.00,"7.02



",,,,,
2020-10-01 08:07:54 +07,592,32.30,1007.00,74.10,"7.02



",,,,,
2020-10-01 08:18:00 +07,593,32.20,1007.00,74.70,"7.02



",,,,,
2020-10-01 08:23:03 +07,594,32.20,1007.00,74.60,"7.02



",,,,,
2020-10-01 08:28:06 +07,595,32.20,1008.00,74.70,"7.02



",,,,,
2020-10-01 08:33:09 +07,596,32.10,1008.00,74.80,"7.02



",,,,,
2020-10-01 08:38:12 +07,597,32.10,1008.00,75.00,"3.06



",,,,,
2020-10-01 08:43:14 +07,598,32.10,1008.00,75.00,"3.06



",,,,,
2020-10-01 08:48:17 +07,599,32.20,1008.00,74.70,"3.06



",,,,,
2020-10-01 08:53:20 +07,600,32.20,1008.00,74.80,"3.06



",,,,,
2020-10-01 08:58:23 +07,601,32.20,1008.00,74.60,"1.80



",,,,,
2020-10-01 09:03:26 +07,602,32.40,1008.00,74.20,"1.80



",,,,,
2020-10-01 09:08:29 +07,603,32.30,1008.00,74.00,"1.80



",,,,,
2020-10-01 09:13:32 +07,604,32.30,1008.00,74.00,"1.80



",,,,,
2020-10-01 09:18:35 +07,605,32.30,1008.00,74.00,"1.80



",,,,,
2020-10-01 09:23:37 +07,606,32.40,1008.00,74.10,"1.80



",,,,,
2020-10-01 09:28:40 +07,607,32.50,1008.00,74.40,"1.80



",,,,,
2020-10-01 09:33:43 +07,608,32.70,1008.00,74.10,"1.80



",,,,,
2020-10-01 09:38:46 +07,609,32.90,1008.00,73.00,"1.80



",,,,,
2020-10-01 09:43:49 +07,610,33.20,1008.00,73.30,"1.80



",,,,,
2020-10-01 09:48:52 +07,611,33.30,1008.00,72.90,"1.80



",,,,,
2020-10-01 09:53:55 +07,612,33.30,1008.00,73.00,"1.80



",,,,,
2020-10-01 09:58:57 +07,613,33.20,1008.00,73.90,"5.40



",,,,,
2020-10-01 10:04:00 +07,614,33.20,1008.00,74.40,"5.40



",,,,,
2020-10-01 10:09:03 +07,615,33.20,1008.00,74.40,"5.40



",,,,,
2020-10-01 10:14:06 +07,616,33.20,1008.00,74.40,"5.40



",,,,,
2020-10-01 10:19:09 +07,617,33.00,1008.00,74.90,"5.40



",,,,,
2020-10-01 10:24:12 +07,618,33.00,1008.00,75.20,"5.40



",,,,,
2020-10-01 10:29:15 +07,619,32.90,1008.00,74.90,"5.40



",,,,,
2020-10-01 10:34:18 +07,620,32.90,1008.00,75.00,"5.40



",,,,,
2020-10-01 10:39:20 +07,621,33.00,1008.00,75.30,"5.40



",,,,,
2020-10-01 10:44:23 +07,622,33.00,1008.00,75.00,"5.40



",,,,,
2020-10-01 10:49:26 +07,623,32.90,1008.00,74.80,"5.40



",,,,,
2020-10-01 10:54:29 +07,624,33.00,1008.00,75.30,"5.40



",,,,,
2020-10-01 10:59:32 +07,625,33.00,1008.00,75.20,"5.40



",,,,,
2020-10-01 11:04:35 +07,626,32.90,1008.00,74.60,"5.40



",,,,,
2020-10-01 11:09:38 +07,627,33.10,1008.00,75.00,"5.40



",,,,,
2020-10-01 11:14:41 +07,628,33.30,1008.00,74.50,"5.40



",,,,,
2020-10-01 11:19:43 +07,629,33.30,1008.00,74.50,"5.40



",,,,,
2020-10-01 11:24:46 +07,630,33.20,1008.00,74.60,"5.40



",,,,,
2020-10-01 11:29:49 +07,631,33.20,1008.00,74.70,"11.16



",,,,,
2020-10-01 11:34:52 +07,632,33.30,1008.00,74.60,"11.16



",,,,,
2020-10-01 11:39:55 +07,633,33.30,1008.00,75.00,"11.16



",,,,,
2020-10-01 11:44:58 +07,634,33.20,1008.00,75.00,"11.16



",,,,,
2020-10-01 11:55:04 +07,635,33.10,1008.00,74.40,"11.16



",,,,,
2020-10-01 12:05:09 +07,636,33.20,1007.00,73.40,"11.16



",,,,,
2020-10-01 12:55:37 +07,637,33.00,1007.00,74.20,"12.96



",,,,,
2020-10-01 13:00:40 +07,638,33.00,1006.00,74.40,"14.76



",,,,,
2020-10-01 13:20:52 +07,639,33.20,1006.00,74.40,"14.76



",,,,,
2020-10-01 13:25:55 +07,640,33.10,1006.00,74.70,"14.76



",,,,,
2020-10-01 13:36:00 +07,641,33.00,1006.00,75.00,"16.56



",,,,,
2020-10-01 13:41:03 +07,642,33.00,1006.00,75.10,"16.56



",,,,,
2020-10-01 13:51:09 +07,643,33.00,1006.00,75.30,"22.32



",,,,,
2020-10-01 15:06:55 +07,644,32.70,1005.00,72.60,"12.96



",,,,,
2020-10-01 15:17:01 +07,645,32.70,1005.00,73.30,"12.96



",,,,,
2020-10-01 15:22:03 +07,646,32.70,1005.00,73.30,"12.96



",,,,,
2020-10-01 15:27:06 +07,647,32.70,1005.00,73.60,"12.96



",,,,,
2020-10-01 15:32:09 +07,648,32.80,1004.00,74.10,"11.16



",,,,,
2020-10-01 15:37:12 +07,649,33.00,1004.00,74.50,"11.16



",,,,,
2020-10-01 15:42:15 +07,650,33.10,1004.00,73.80,"11.16



",,,,,
2020-10-01 15:47:18 +07,651,33.20,1004.00,73.50,"11.16



",,,,,
2020-10-01 15:52:21 +07,652,33.40,1004.00,72.90,"12.96



",,,,,
2020-10-01 15:57:24 +07,653,33.50,1004.00,72.40,"12.96



",,,,,
2020-10-01 16:02:26 +07,654,33.50,1004.00,72.20,"12.96



",,,,,
2020-10-01 16:07:29 +07,655,33.50,1004.00,72.50,"12.96



",,,,,
2020-10-01 16:12:32 +07,656,33.30,1004.00,73.30,"12.96



",,,,,
2020-10-01 16:17:35 +07,657,33.40,1004.00,73.40,"12.96



",,,,,
2020-10-01 16:22:38 +07,658,33.20,1004.00,73.70,"11.16



",,,,,
2020-10-01 16:27:41 +07,659,33.20,1004.00,73.60,"11.16



",,,,,
2020-10-01 16:32:44 +07,660,33.30,1004.00,73.30,"11.16



",,,,,
2020-10-01 16:37:46 +07,661,33.30,1004.00,73.70,"11.16



",,,,,
2020-10-01 16:42:49 +07,662,33.20,1004.00,73.80,"11.16



",,,,,
2020-10-01 16:47:52 +07,663,33.30,1004.00,73.50,"11.16



",,,,,
